Timestamp,Channel,RSSID
148692228,1,0.0368
148733359,1,0.0449
148897030,1,0.0447
148938182,1,0.0447
148997851,1,0.0485
149009591,1,0.0485
149040583,1,0.0484
149101818,1,0.0486
149245934,1,0.0481
149306627,1,0.0482
149450800,1,0.0477
149511446,1,0.0478
149552563,1,0.0477
149655571,1,0.0473
149716245,1,0.0474
149921035,1,0.0468
149962212,1,0.0469
150125817,1,0.0465
150330617,1,0.0461
150535416,1,0.0457
150740213,1,0.0454
150798722,1,0.0541
150945023,1,0.0541
151149838,1,0.0537
151354610,1,0.0531
151559439,1,0.0526
151764226,1,0.052
151969009,1,0.0515
152173820,1,0.0508
152378617,1,0.0501
152583434,1,0.0495
152788224,1,0.0489
152993032,1,0.0484
153197812,1,0.0478
153402612,1,0.0471
153607409,1,0.0465
153812202,1,0.0461
154017011,1,0.0457
154221820,1,0.0454
154426617,1,0.0452
154631405,1,0.0448
154836215,1,0.0446
155041012,1,0.0441
155245806,1,0.0437
155450623,1,0.0435
155655400,1,0.0431
155860194,1,0.0427
156064998,1,0.0423
156269792,1,0.0419
156474618,1,0.0415
156618864,1,0.0465
156679388,1,0.0465
156884191,1,0.0458
157089012,1,0.0452
157293814,1,0.0447
157498605,1,0.0443
157703415,1,0.0438
157846989,1,0.0445
157908186,1,0.0449
158052491,1,0.0444
158113002,1,0.0446
158257274,1,0.0442
158317810,1,0.0445
158522591,1,0.0441
158727380,1,0.0436
158932187,1,0.0432
159136987,1,0.0427
159341807,1,0.0422
159546598,1,0.0417
159751386,1,0.0413
159956191,1,0.0409
160160985,1,0.0406
160365799,1,0.0401
160570599,1,0.0397
160775380,1,0.0391
160980197,1,0.0387
161184999,1,0.0383
161389779,1,0.0379
161594586,1,0.0377
161799372,1,0.0375
162004186,1,0.0374
162208983,1,0.0373
162413783,1,0.0372
162618592,1,0.0371
162823366,1,0.0369
163028161,1,0.0369
163172590,1,0.0409
163232964,1,0.0413
163437761,1,0.041
163642586,1,0.0405
163847385,1,0.0399
164052168,1,0.0396
164093443,1,0.0405
164257245,1,0.0404
164461777,1,0.04
164666740,1,0.0398
164815692,1,0.0514
164871381,1,0.0515
165076153,1,0.0507
165280964,1,0.0503
165485752,1,0.0498
165690560,1,0.0494
165895360,1,0.0489
166100148,1,0.0484
166304965,1,0.0478
166509748,1,0.0472
166714557,1,0.0469
166919366,1,0.0462
167124157,1,0.0456
167328973,1,0.045
167533765,1,0.0441
167738573,1,0.0434
167779858,1,0.0467
167943359,1,0.0461
168087777,1,0.0457
168148167,1,0.0456
168352948,1,0.0452
168557765,1,0.0446
168762568,1,0.0442
168803858,1,0.0448
168967340,1,0.0446
169172137,1,0.0444
169376945,1,0.0441
169418237,1,0.0446
169581754,1,0.0444
169786553,1,0.0441
169930245,1,0.0441
169991353,1,0.0445
170196162,1,0.0443
170400940,1,0.0438
170605734,1,0.0433
170810529,1,0.0428
171015355,1,0.0424
171220131,1,0.0418
171424927,1,0.0412
171629737,1,0.041
171834537,1,0.0406
172039341,1,0.0402
172244243,1,0.04
172448953,1,0.0397
172653743,1,0.0395
172798684,1,0.0417
172858521,1,0.0417
173063320,1,0.0411
173104711,1,0.0413
173268131,1,0.0411
173472927,1,0.0404
173514273,1,0.0407
173617837,1,0.0405
173677720,1,0.0407
173882571,1,0.0404
174087345,1,0.04
174292132,1,0.0396
174496924,1,0.0392
174701745,1,0.0389
174906514,1,0.0386
175111314,1,0.0381
175316121,1,0.0381
175520930,1,0.0379
175725721,1,0.0376
175930527,1,0.0372
176075522,1,0.0391
176135308,1,0.0392
176340107,1,0.0387
176544960,1,0.0381
176749735,1,0.0377
176954518,1,0.0374
177159333,1,0.0372
177364131,1,0.037
177568904,1,0.037
177773708,1,0.0369
177978510,1,0.0369
178183296,1,0.0369
178388117,1,0.0369
178592916,1,0.0368
178797704,1,0.0365
179002499,1,0.0359
179207303,1,0.0354
179412124,1,0.0351
179616922,1,0.0349
179821692,1,0.0344
180026506,1,0.0342
180231312,1,0.0338
180436100,1,0.0336
180640919,1,0.0334
180845708,1,0.0332
181050508,1,0.0332
181255304,1,0.0328
181460115,1,0.0327
181664903,1,0.0324
181869693,1,0.0323
182074509,1,0.0318
182279294,1,0.0316
182484099,1,0.0312
182688899,1,0.0311
182893689,1,0.031
183098498,1,0.0309
183303290,1,0.0308
183448020,1,0.0364
183508104,1,0.0365
183652813,1,0.0362
183712893,1,0.0365
183754351,1,0.0365
183917703,1,0.0364
184122494,1,0.0362
184327272,1,0.0359
184532092,1,0.0355
184736894,1,0.0349
184941673,1,0.0345
185146499,1,0.0342
185187915,1,0.0356
185351297,1,0.0354
185556070,1,0.0351
185760876,1,0.0347
185965667,1,0.0344
186170476,1,0.0343
186339613,1,0.0453
186340835,1,0.057
186341738,1,0.0686
186359226,1,0.0686
186361193,1,0.0687
186363107,1,0.0687
186375284,1,0.0692
186379378,1,0.0692
186381363,1,0.0691
186383419,1,0.0691
186580086,1,0.0681
186621572,1,0.0694
186784873,1,0.0689
186989681,1,0.0681
187194483,1,0.0673
187399290,1,0.0665
187604069,1,0.0658
187754619,1,0.065
187783225,1,0.065
187808890,1,0.0647
188013686,1,0.0639
188055151,1,0.0652
188218487,1,0.0646
188259996,1,0.0646
